review,date,rating
"The burger was absolutely delicious — crispy on the outside, juicy inside. Best I've had in years!",2024-01-05,5
"Staff were incredibly rude. I waited 10 minutes just to be acknowledged at the counter.",2024-01-07,1
"Restrooms were filthy. There was mold around the sink and paper towels all over the floor.",2024-01-08,1
"Delivery took over 90 minutes and the food arrived completely cold. Very disappointing.",2024-01-10,2
"The price is way too high for what you get. Totally overpriced for mediocre food.",2024-01-11,2
"Great flavor on the pasta, but the portion size was tiny for the cost.",2024-01-13,3
"Queue was enormous — we waited almost an hour before being seated. Unacceptable on a weekday.",2024-01-15,2
"Excellent customer service! The server was attentive, friendly, and made great recommendations.",2024-01-16,5
"Our order was completely wrong. Asked for no onions and got extra onions. Wrong item delivered.",2024-01-18,1
"The dining area was spotless and the tables were cleaned immediately after guests left. Impressive.",2024-01-20,5
"Loved the fresh aroma of the bread. The croissants were perfectly buttery and flaky.",2024-01-21,5
"The cashier was dismissive and unprofessional. Made us feel unwelcome the whole time.",2024-01-22,1
"Packaging was damaged when it arrived — the box was crushed and the product inside broken.",2024-01-24,2
"Super fast service! We were seated, ordered, and eating within 15 minutes. Impressive.",2024-01-25,5
"The salmon tasted stale. I'm fairly certain it wasn't fresh. Not going back.",2024-01-27,1
"Reasonable prices for the quality you get. Good value for money overall.",2024-01-28,4
"Waited 45 minutes for a simple sandwich. The kitchen seemed completely disorganised.",2024-01-29,2
"The hygiene here is shocking. I saw a cockroach near the kitchen entrance.",2024-01-30,1
"Pizza was soggy and undercooked. The dough wasn't cooked through at all.",2024-02-01,2
"Friendly host, great ambiance, and the host remembered our names from a previous visit!",2024-02-02,5
"Delivery driver left the package outside in the rain without ringing the bell. Everything got wet.",2024-02-03,2
"The steak was perfectly cooked — medium rare exactly as I asked. Incredible flavour.",2024-02-04,5
"I was charged twice for the same item. Had to argue for 20 minutes to get a refund.",2024-02-05,1
"The place was tidy and well-organised. Even the bathroom smelled clean.",2024-02-06,5
"Manager was great — came over personally to check on us and fix a mix-up quickly.",2024-02-08,5
"The fries were greasy and cold. The burger was burnt. Really poor quality today.",2024-02-09,2
"My tracking said delivered but the package never showed up. Terrible delivery service.",2024-02-10,1
"Good portion sizes and the value is fantastic. Will definitely come back.",2024-02-11,4
"The soup was bland and tasteless. No seasoning at all. Very disappointing.",2024-02-12,2
"Waiter ignored our table for 25 minutes. Had to get up and ask for the menu ourselves.",2024-02-14,1
"Love the seasonal menu changes! The new tacos are absolutely amazing — best in the city.",2024-02-15,5
"Staff at the bar were very helpful and explained every cocktail on the menu with enthusiasm.",2024-02-16,4
"The restroom was out of soap and had no paper towels. Basic hygiene standards not met.",2024-02-17,2
"The dessert was heavenly — chocolate lava cake with perfectly melted centre. Outstanding!",2024-02-18,5
"Missing two items from my delivery order. The driver didn't even wait for me to check.",2024-02-19,2
"Very reasonable prices — you get much more than you pay for. Great deal.",2024-02-20,4
"Long wait but completely worth it. The food quality made up for the delay.",2024-02-21,4
"Rude staff and a long wait. Double problem. Won't be returning.",2024-02-22,1
"Sticky tables and dusty chairs. The place clearly hasn't been deep-cleaned in weeks.",2024-02-24,1
"The chicken tikka masala was rich, creamy, and perfectly spiced. Absolutely loved it.",2024-02-25,5
"Package arrived three days late with no tracking updates whatsoever.",2024-02-26,2
"Incredibly friendly and welcoming team. They went above and beyond to make us feel special.",2024-02-27,5
"Food was cold and stale — clearly it had been sitting under a heat lamp too long.",2024-02-28,2
"The whole restaurant was filthy. Grease on every surface. Health hazard.",2024-03-01,1
"Got a prompt text when my order shipped and it arrived the next day. Fantastic delivery!",2024-03-02,5
"Priced well above every competitor nearby. Can't justify eating here regularly.",2024-03-03,2
"The wait was long but the staff kept us updated and brought complimentary bread. Nice touch.",2024-03-05,4
"Undercooked chicken — I sent it back twice and it was still pink in the middle. Dangerous.",2024-03-06,1
"The sushi was fresh, beautifully presented, and the flavours were outstanding.",2024-03-07,5
"Server was extremely attentive and even recommended a wine pairing that was perfect.",2024-03-08,5
"Wrong order delivered AGAIN. This is the third time. Beyond frustrating.",2024-03-09,1
"The place smells amazing the moment you walk in. Food is consistently excellent.",2024-03-10,5
"Completely overpriced — paid premium price for fast-food quality.",2024-03-11,2
"Waited over an hour with no update. Had to cancel and leave without eating.",2024-03-12,1
"The table was sticky and the menus had visible food stains. Not acceptable.",2024-03-13,2
"Quick, efficient, and the food was piping hot when it arrived. Exactly what you want.",2024-03-15,5
"The waffle was crispy outside and fluffy inside — just the right amount of sweetness.",2024-03-16,5
"Staff member rolled their eyes when I asked to modify my order. Very rude attitude.",2024-03-17,1
"Excellent value for a family dinner — fed four people well for under $60.",2024-03-18,5
"The lasagna was dry and tasteless. Not even close to what the menu description promised.",2024-03-19,2
"Driver called me to confirm my address — very professional. Package arrived in perfect condition.",2024-03-20,5
"Mold on the bathroom walls. This place should be reported to health authorities.",2024-03-21,1
"Reasonably priced for the area and the food quality matches the cost.",2024-03-22,4
"The line moved so slowly. Staff seemed confused and understaffed during the lunch rush.",2024-03-24,2
